('200', 'Australian National University', 'Australian Capital Territory', -35.280, 149.120),
('221', 'Barton', 'Australian Capital Territory', -35.200, 149.100),
('800', 'Darwin', 'Northern Territory', -12.800, 130.960),
('801', 'Darwin', 'Northern Territory', -12.800, 130.960),
('804', 'Parap', 'Northern Territory', -12.430, 130.840),
('810', 'Alawa', 'Northern Territory', -12.380, 130.880),
('810', 'Brinkin', 'Northern Territory', -12.380, 130.880),
('810', 'Casuarina', 'Northern Territory', -12.380, 130.880),
('810', 'Coconut Grove', 'Northern Territory', -12.380, 130.880),
('810', 'Jingili', 'Northern Territory', -12.380, 130.880),
('810', 'Lee Point', 'Northern Territory', -12.380, 130.880),
('810', 'Lyons', 'Northern Territory', -12.380, 130.880),
('810', 'Millner', 'Northern Territory', -12.380, 130.880),
('810', 'Moil', 'Northern Territory', -12.380, 130.880),
('810', 'Muirhead', 'Northern Territory', -12.380, 130.880),
('810', 'Nakara', 'Northern Territory', -12.380, 130.880),
('810', 'Nightcliff', 'Northern Territory', -12.380, 130.880),
('810', 'Rapid Creek', 'Northern Territory', -12.380, 130.880),
('810', 'Tiwi', 'Northern Territory', -12.380, 130.880),
('810', 'Wagaman', 'Northern Territory', -12.380, 130.880),
('810', 'Wanguri', 'Northern Territory', -12.380, 130.880),
('811', 'Casuarina', 'Northern Territory', -12.380, 130.850),
('812', 'Anula', 'Northern Territory', -12.400, 130.910),
('812', 'Buffalo Creek', 'Northern Territory', -12.400, 130.910),
('812', 'Holmes', 'Northern Territory', -12.400, 130.910),
('812', 'Karama', 'Northern Territory', -12.400, 130.910),
('812', 'Leanyer', 'Northern Territory', -12.400, 130.910),
('812', 'Malak', 'Northern Territory', -12.400, 130.910),
('812', 'Marrara', 'Northern Territory', -12.400, 130.910),
('812', 'Northlakes', 'Northern Territory', -12.400, 130.910),
('812', 'Sanderson', 'Northern Territory', -12.400, 130.910),
('812', 'Woodleigh Gardens', 'Northern Territory', -12.400, 130.910),
('812', 'Wulagi', 'Northern Territory', -12.400, 130.910),
('813', 'Sanderson', 'Northern Territory', 0.000, 0.000),
('814', 'Nightcliff', 'Northern Territory', -12.380, 130.850),
('815', 'Charles Darwin University', 'Northern Territory', 0.000, 0.000),
('820', 'Bagot', 'Northern Territory', -12.410, 130.860),
('820', 'Bayview', 'Northern Territory', -12.410, 130.860),
('820', 'Charles Darwin', 'Northern Territory', -12.410, 130.860),
('820', 'Coonawarra', 'Northern Territory', -12.410, 130.860),
('820', 'Cullen Bay', 'Northern Territory', -12.410, 130.860),
('820', 'Darwin DC', 'Northern Territory', -12.410, 130.860),
('820', 'Darwin International Airport', 'Northern Territory', -12.410, 130.860),
('820', 'Darwin MC', 'Northern Territory', -12.410, 130.860),
('820', 'East Point', 'Northern Territory', -12.410, 130.860),
('820', 'Eaton', 'Northern Territory', -12.410, 130.860),
('820', 'Fannie Bay', 'Northern Territory', -12.410, 130.860),
('820', 'Larrakeyah', 'Northern Territory', -12.410, 130.860),
('820', 'Ludmilla', 'Northern Territory', -12.410, 130.860),
